Constituency,State / UT,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Rajampet,Andhra Pradesh,24,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,76071,Result Declared
Rajkot,Gujarat,10,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,DHANANI PARESH,Indian National Congress,484260,Result Declared
Rajmahal,Jharkhand,1,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,TALA MARANDI,Bharatiya Janata Party,178264,Result Declared
Rampur,Uttar Pradesh,7,MOHIBBULLAH,Samajwadi Party,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,87434,Result Declared
Ramtek,Maharashtra,9,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,RAJU DEONATH PARVE,Shiv Sena,76768,Result Declared
Ranaghat,West Bengal,13,JAGANNATH SARKAR,Bharatiya Janata Party,MUKUT MANI ADHIKARI,All India Trinamool Congress,186899,Result Declared
Ranchi,Jharkhand,8,SANJAY SETH,Bharatiya Janata Party,YASHASWINI SAHAY,Indian National Congress,120512,Result Declared
Ratnagiri- Sindhudurg,Maharashtra,46,NARAYAN TATU RANE,Bharatiya Janata Party,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),47858,Result Declared
Raver,Maharashtra,4,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,SHRIRAM DAYARAM PATIL,Nationalist Congress Party ü?? Sharadchandra Pawar,272183,Result Declared
Robertsganj,Uttar Pradesh,80,CHHOTELAL,Samajwadi Party,RINKI SINGH,Apna Dal (Soneylal),129234,Result Declared
SAGAR,Madhya Pradesh,5,DR. LATA WANKHEDE,Bharatiya Janata Party,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,471222,Result Declared
SALEM,Tamil Nadu,15,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,VIGNESH P,All India Anna Dravida Munnetra Kazhagam,70357,Result Declared
SATNA,Madhya Pradesh,9,GANESH SINGH,Bharatiya Janata Party,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,84949,Result Declared
SHAHDOL,Madhya Pradesh,12,SMT. HIMADRI SINGH,Bharatiya Janata Party,PHUNDE LAL SINGH MARKO,Indian National Congress,397340,Result Declared
SHIMLA,Himachal Pradesh,4,Suresh Kumar Kashyap,Bharatiya Janata Party,Vinod Sultanpuri,Indian National Congress,91451,Result Declared
SIDHI,Madhya Pradesh,11,DR. RAJESH MISHRA,Bharatiya Janata Party,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,206416,Result Declared
SIKAR,Rajasthan,5,AMRARAM,Communist Party of India (Marxist),SUMEDHANAND SARASWATI,Bharatiya Janata Party,72896,Result Declared
SIRSA,Haryana,3,SELJA,Indian National Congress,ASHOK TANWAR,Bharatiya Janata Party,268497,Result Declared
SIVAGANGA,Tamil Nadu,31,KARTI P CHIDAMBARAM,Indian National Congress,XAVIERDASS A,All India Anna Dravida Munnetra Kazhagam,205664,Result Declared
SONIPAT,Haryana,6,SATPAL BRAHAMCHARI,Indian National Congress,MOHAN LAL BADOLI,Bharatiya Janata Party,21816,Result Declared
SRINAGAR,Jammu and Kashmir ,2,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party,188416,Result Declared
SRIPERUMBUDUR,Tamil Nadu,5,T R BAALU,Dravida Munnetra Kazhagam,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,487029,Result Declared
SURGUJA,Chhattisgarh,1,CHINTAMANI MAHARAJ,Bharatiya Janata Party,SHASHI SINGH KORAM,Indian National Congress,64822,Result Declared
Sabarkantha,Gujarat,5,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,155682,Result Declared
Saharanpur,Uttar Pradesh,1,IMRAN MASOOD,Indian National Congress,RAGHAV LAKHANPAL,Bharatiya Janata Party,64542,Result Declared
Salempur,Uttar Pradesh,71,RAMASHANKAR RAJBHAR,Samajwadi Party,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,3573,Result Declared
Samastipur,Bihar,23,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),SUNNY HAZARI,Indian National Congress,187251,Result Declared
Sambalpur,Odisha,3,DHARMENDRA PRADHAN,Bharatiya Janata Party,PRANAB PRAKASH DAS,Biju Janata Dal,119836,Result Declared
Sambhal,Uttar Pradesh,8,ZIA UR REHMAN,Samajwadi Party,PARMESHWAR LAL SAINI,Bharatiya Janata Party,121494,Result Declared
Sangli,Maharashtra,44,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,SANJAY (KAKA) PATIL,Bharatiya Janata Party,100053,Result Declared
Sangrur,Punjab,12,GURMEET SINGH MEET HAYER,Aam Aadmi Party,SUKHPAL SINGH KHAIRA,Indian National Congress,172560,Result Declared
Sant Kabir Nagar,Uttar Pradesh,62,LAXMIKANT PAPPU NISHAD,Samajwadi Party,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,92170,Result Declared
Saran,Bihar,20,RAJIV PRATAP RUDY,Bharatiya Janata Party,ROHINI ACHARYA,Rashtriya Janata Dal,13661,Result Declared
Sasaram,Bihar,34,MANOJ KUMAR,Indian National Congress,SHIVESH KUMAR,Bharatiya Janata Party,19157,Result Declared
Satara,Maharashtra,45,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party ü?? Sharadchandra Pawar,32771,Result Declared
Secunderabad,Telangana,8,G. KISHAN REDDY,Bharatiya Janata Party,DANAM NAGENDER,Indian National Congress,49944,Result Declared
Shahjahanpur,Uttar Pradesh,27,ARUN KUMAR SAGAR,Bharatiya Janata Party,JYOTSNA GOND,Samajwadi Party,55379,Result Declared
Sheohar,Bihar,4,LOVELY ANAND,Janata Dal (United),RITU JAISWAL,Rashtriya Janata Dal,29143,Result Declared
Shillong,Meghalaya,1,DR. RICKY ANDREW J. SYNGKON,Voice of the People Party,VINCENT H. PALA,Indian National Congress,371910,Result Declared
Shimoga,Karnataka,14,B.Y.RAGHAVENDRA,Bharatiya Janata Party,GEETHA SHIVARAJKUMAR,Indian National Congress,243715,Result Declared
Shirdi,Maharashtra,38,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),LOKHANDE SADASHIV KISAN,Shiv Sena,50529,Result Declared
Shirur,Maharashtra,36,DR. AMOL RAMSING KOLHE,Nationalist Congress Party ü?? Sharadchandra Pawar,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,140951,Result Declared
Shrawasti,Uttar Pradesh,58,RAM SHIROMANI VERMA,Samajwadi Party,SAKET MISRA,Bharatiya Janata Party,76673,Result Declared
Sikkim,Sikkim,1,INDRA HANG SUBBA,Sikkim Krantikari Morcha,BHARAT BASNETT,Citizen Action Party-Sikkim,80830,Result Declared
Silchar,Assam,8,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,SURYA KANTA SARKAR,Indian National Congress,264311,Result Declared
Singhbhum,Jharkhand,10,JOBA MAJHI,Jharkhand Mukti Morcha,GEETA KORA,Bharatiya Janata Party,168402,Result Declared
Sitamarhi,Bihar,5,DEVESH CHANDRA THAKUR,Janata Dal (United),ARJUN RAY,Rashtriya Janata Dal,51356,Result Declared
Sitapur,Uttar Pradesh,30,RAKESH RATHOR,Indian National Congress,RAJESH VERMA,Bharatiya Janata Party,89641,Result Declared
Siwan,Bihar,18,VIJAYLAKSHMI DEVI,Janata Dal (United),HENA SHAHAB,Independent,92857,Result Declared
Solapur,Maharashtra,42,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,RAM VITTHAL SATPUTE,Bharatiya Janata Party,74197,Result Declared
Sonitpur,Assam,11,RANJIT DUTTA,Bharatiya Janata Party,PREMLAL GANJU,Indian National Congress,361408,Result Declared
South Delhi,New Delhi ,7,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,SAHI RAM,Aam Aadmi Party,124333,Result Declared
South Goa,Goa,2,CAPTAIN VIRIATO FERNANDES,Indian National Congress,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,13535,Result Declared
Srerampur,West Bengal,27,KALYAN BANERJEE,All India Trinamool Congress,KABIR SHANKAR BOSE,Bharatiya Janata Party,174830,Result Declared
Srikakulam,Andhra Pradesh,2,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,327901,Result Declared
Sultanpur,Uttar Pradesh,38,RAMBHUAL NISHAD,Samajwadi Party,MANEKA SANJAY GANDHI,Bharatiya Janata Party,43174,Result Declared
Sundargarh,Odisha,2,JUAL ORAM,Bharatiya Janata Party,DILIP KUMAR TIRKEY,Biju Janata Dal,138808,Result Declared
Supaul,Bihar,8,DILESHWAR KAMAIT,Janata Dal (United),CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,169803,Result Declared
Surat,Gujarat,24,MUKESHKUMAR CHANDRAKAANT DALAL,Bharatiya Janata Party,,,,Uncontested
Surendranagar,Gujarat,9,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,261617,Result Declared
TENKASI,Tamil Nadu,37,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam,196199,Result Declared
THANJAVUR,Tamil Nadu,30,MURASOLI S,Dravida Munnetra Kazhagam,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,319583,Result Declared
THENI,Tamil Nadu,33,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,278825,Result Declared
THOOTHUKKUDI,Tamil Nadu,36,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,392738,Result Declared
TIKAMGARH,Madhya Pradesh,6,DR. VIRENDRA KUMAR,Bharatiya Janata Party,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,403312,Result Declared
TIRUCHIRAPPALLI,Tamil Nadu,24,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,313094,Result Declared
TIRUNELVELI,Tamil Nadu,38,ROBERT BRUCE C,Indian National Congress,NAINAR NAGENTHRAN,Bharatiya Janata Party,165620,Result Declared
TIRUPPUR,Tamil Nadu,18,"SUBBARAYAN, K.",Communist Party of India,"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,125928,Result Declared
TIRUVALLUR,Tamil Nadu,1,Sasikanth Senthil,Indian National Congress,"Balaganapathy, V. Pon",Bharatiya Janata Party,572155,Result Declared
TIRUVANNAMALAI,Tamil Nadu,11,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,233931,Result Declared
TONK-SAWAI MADHOPUR,Rajasthan,12,HARISH CHANDRA MEENA,Indian National Congress,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,64949,Result Declared
Tamluk,West Bengal,30,ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,77733,Result Declared
Tehri Garhwal,Uttarakhand,1,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,JOT SINGH GUNSOLA,Indian National Congress,272493,Result Declared
Thane,Maharashtra,25,NARESH GANPAT MHASKE,Shiv Sena,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),217011,Result Declared
Thirupathi(SC),Andhra Pradesh,23,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,14569,Result Declared
Thiruvananthapuram,Kerala,20,SHASHI THAROOR,Indian National Congress,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,16077,Result Declared
Thrissur,Kerala,10,SURESH GOPI,Bharatiya Janata Party,ADV V S SUNILKUMAR,Communist Party of India,74686,Result Declared
Tripura East,Tripura,2,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,RAJENDRA REANG,Communist Party of India (Marxist),486819,Result Declared
Tripura West,Tripura,1,BIPLAB KUMAR DEB,Bharatiya Janata Party,ASISH KUMAR SAHA,Indian National Congress,611578,Result Declared
Tumkur,Karnataka,19,V. SOMANNA,Bharatiya Janata Party,S.P. MUDDAHANUMEGOWDA,Indian National Congress,175594,Result Declared
Tura,Meghalaya,2,SALENG A SANGMA,Indian National Congress,AGATHA K SANGMA,National People's Party,155241,Result Declared
UDAIPUR,Rajasthan,19,MANNA LAL RAWAT,Bharatiya Janata Party,TARACHAND MEENA,Indian National Congress,261608,Result Declared
UDHAMPUR,Jammu and Kashmir ,4,DR JITENDRA SINGH,Bharatiya Janata Party,CH LAL SINGH,Indian National Congress,124373,Result Declared
UJJAIN,Rajasthan,22,ANIL FIROJIYA,Bharatiya Janata Party,MAHESH PARMAR,Indian National Congress,375860,Result Declared
Udupi Chikmagalur,Karnataka,15,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,K. JAYAPRAKASH HEGDE,Indian National Congress,259175,Result Declared
Ujiarpur,Bihar,22,NITYANAND RAI,Bharatiya Janata Party,ALOK KUMAR MEHTA,Rashtriya Janata Dal,60102,Result Declared
Uluberia,West Bengal,26,SAJDA AHMED,All India Trinamool Congress,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,218673,Result Declared
Unnao,Uttar Pradesh,33,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,ANNU TANDON,Samajwadi Party,35818,Result Declared
Uttara Kannada,Karnataka,12,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,DR. ANJALI NIMBALKAR,Indian National Congress,337428,Result Declared
VELLORE,Tamil Nadu,8,DM KATHIR ANAND,Dravida Munnetra Kazhagam,AC SHANMUGAM,Bharatiya Janata Party,215702,Result Declared
VIDISHA,Madhya Pradesh,18,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,PRATAPBHANU SHARMA,Indian National Congress,821408,Result Declared
VILUPPURAM,Tamil Nadu,13,RAVIKUMAR. D,Viduthalai Chiruthaigal Katch,BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,70703,Result Declared
VIRUDHUNAGAR,Tamil Nadu,34,MANICKAM TAGORE B,Indian National Congress,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,4379,Result Declared
Vadakara,Kerala,3,SHAFI PARAMBIL,Indian National Congress,K K SHAILAJA TEACHER,Communist Party of India (Marxist),114506,Result Declared
Vadodara,Gujarat,20,DR. HEMANG JOSHI,Bharatiya Janata Party,PADHIYAR JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,582126,Result Declared
Vaishali,Bihar,16,VEENA DEVI,Lok Janshakti Party(Ram Vilas),VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,89634,Result Declared
Valmiki Nagar,Bihar,1,SUNIL KUMAR,Janata Dal (United),DEEPAK YADAV,Rashtriya Janata Dal,98675,Result Declared
Valsad,Gujarat,26,DHAVAL LAXMANBHAI PATEL,Bharatiya Janata Party,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,210704,Result Declared
Varanasi,Uttar Pradesh,77,NARENDRA MODI,Bharatiya Janata Party,AJAY RAI,Indian National Congress,152513,Result Declared
Vijayawada,Andhra Pradesh,12,KESINENI SIVANATH (CHINNI),Telugu Desam,KESINENI SRINIVAS (NANI),Yuvajana Sramika Rythu Congress Party,282085,Result Declared
Visakhapatnam,Andhra Pradesh,4,SRIBHARAT MATHUKUMILI,Telugu Desam,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,504247,Result Declared
Vizianagaram,Andhra Pradesh,3,APPALANAIDU KALISETTI,Telugu Desam,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,249351,Result Declared
Warangal,Telangana,15,KADIYAM KAVYA,Indian National Congress,AROORI RAMESH,Bharatiya Janata Party,220339,Result Declared
Wardha,Maharashtra,8,AMAR SHARADRAO KALE,Nationalist Congress Party ü?? Sharadchandra Pawar,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,81648,Result Declared
Wayanad,Kerala,4,RAHUL GANDHI,Indian National Congress,ANNIE RAJA,Communist Party of India,364422,Result Declared
West Delhi,New Delhi ,6,KAMALJEET SEHRAWAT,Bharatiya Janata Party,MAHABAL MISHRA,Aam Aadmi Party,199013,Result Declared
Yavatmal- Washim,Maharashtra,14,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,94473,Result Declared
Zahirabad,Telangana,5,SURESH KUMAR SHETKAR,Indian National Congress,B. B. PATIL,Bharatiya Janata Party,46188,Result Declared
